user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date
U25496,47,Male,Master,Employed,Engineer,7584.69,4435.36,101133.49,Yes,Car,422812.59,120,4681.36,5.94,0.62,647,1.11,Europe,2024-01-04
U21314,62,Female,High School,Employed,Manager,3279.43,1073.36,83377.88,Yes,Home,316820.16,60,9898.89,28.18,3.02,667,2.12,Asia,2022-09-06
U29811,68,Other,High School,Self-employed,Salesperson,1544.94,1074.53,60123.45,Yes,Car,354685.41,240,7404.73,24.87,4.79,676,3.24,Asia,2021-11-30
U32167,52,Female,Bachelor,Employed,Unemployed,4435.27,1725.11,309908.98,No,None,0.0,0,0.0,0.0,0.0,730,5.82,Asia,2023-04-07
U08860,55,Male,Master,Unemployed,Unemployed,5209.62,2345.9,439035.87,Yes,Home,237329.58,240,4192.59,20.86,0.8,314,7.02,Other,2025-04-09
U24077,53,Female,Master,Employed,Unemployed,4920.48,4379.01,332333.88,No,None,0.0,0,0.0,0.0,0.0,315,5.63,Asia,2024-08-15
U12786,55,Male,High School,Employed,Engineer,6479.15,3209.27,110110.31,No,None,0.0,0,0.0,0.0,0.0,417,1.42,North America,2024-10-19
U31026,33,Male,High School,Employed,Engineer,8070.89,7126.13,438553.14,Yes,Home,416734.64,180,8398.41,23.44,1.04,836,4.53,Asia,2023-05-23
U18255,62,Male,Master,Employed,Engineer,2617.08,1770.48,46912.65,No,None,0.0,0,0.0,0.0,0.0,755,1.49,Africa,2024-08-18
U17391,33,Female,Bachelor,Employed,Unemployed,4408.89,1786.27,47087.69,No,None,0.0,0,0.0,0.0,0.0,727,0.89,Africa,2025-02-13
U05355,65,Male,Master,Unemployed,Accountant,4132.86,3126.04,133289.13,Yes,Education,205180.83,12,19717.95,27.17,4.77,528,2.69,Other,2023-05-07
U21558,28,Other,Bachelor,Employed,Unemployed,1732.8,1531.89,193393.14,No,None,0.0,0,0.0,0.0,0.0,680,9.3,Africa,2022-10-24
U08291,57,Male,Master,Employed,Student,4621.2,2725.61,296563.29,No,None,0.0,0,0.0,0.0,0.0,549,5.35,Europe,2024-08-02
U22057,22,Male,Master,Unemployed,Salesperson,3073.54,2615.04,164097.47,No,None,0.0,0,0.0,0.0,0.0,484,4.45,Europe,2025-05-08
U16896,50,Male,Bachelor,Employed,Unemployed,3074.73,1245.09,302331.63,Yes,Business,487446.29,360,6225.9,15.16,2.02,399,8.19,Asia,2025-05-27
U19610,59,Male,High School,Employed,Doctor,3159.37,1227.52,212736.24,No,None,0.0,0,0.0,0.0,0.0,630,5.61,Other,2023-03-31
U16748,60,Female,Master,Self-employed,Salesperson,3476.49,1788.75,374511.17,No,None,0.0,0,0.0,0.0,0.0,528,8.98,Asia,2022-04-19
U12870,23,Female,High School,Self-employed,Manager,4166.57,3014.55,397409.54,Yes,Business,215114.98,36,6579.36,6.36,1.58,633,7.95,Asia,2023-06-10
U27743,18,Male,Bachelor,Self-employed,Salesperson,3225.95,1964.84,209216.19,Yes,Home,237959.29,12,21835.36,18.17,6.77,553,5.4,Europe,2024-06-03
U09396,18,Female,High School,Employed,Engineer,3645.94,3112.36,392134.95,No,None,0.0,0,0.0,0.0,0.0,738,8.96,Africa,2023-12-28
U11916,36,Female,High School,Employed,Manager,3510.51,2014.22,215469.28,Yes,Business,390130.2,120,3883.47,3.64,1.11,531,5.11,Asia,2024-02-04
U15269,62,Female,Bachelor,Self-employed,Student,3912.09,3056.26,123095.79,Yes,Home,62388.77,240,389.33,4.34,0.1,826,2.62,North America,2023-07-04
U31086,19,Male,Bachelor,Employed,Teacher,2538.72,1501.21,6214.16,No,None,0.0,0,0.0,0.0,0.0,806,0.2,Other,2022-02-08
U09639,20,Female,Bachelor,Employed,Engineer,4161.61,3407.97,14062.8,Yes,Home,313704.2,240,5403.25,20.3,1.3,844,0.28,North America,2022-08-09
U04811,62,Male,Bachelor,Employed,Driver,3673.05,2769.32,229735.93,No,None,0.0,0,0.0,0.0,0.0,457,5.21,North America,2024-03-18
U26442,59,Male,High School,Self-employed,Teacher,3074.54,1520.49,115287.24,Yes,Home,376063.8,12,35079.92,21.35,11.41,716,3.12,Other,2024-11-12
U09813,24,Male,PhD,Unemployed,Unemployed,5347.3,2204.24,439525.93,Yes,Business,352953.71,300,4487.9,14.88,0.84,387,6.85,Africa,2022-11-03
U10467,54,Female,Master,Employed,Manager,7161.03,4249.51,117713.19,No,None,0.0,0,0.0,0.0,0.0,685,1.37,Africa,2021-08-28
U10715,35,Female,Master,Employed,Doctor,2772.18,2467.73,270509.15,Yes,Home,8760.79,360,200.68,27.48,0.07,822,8.13,Europe,2025-02-07
U08178,38,Male,Master,Employed,Engineer,3874.12,3284.11,182575.43,No,None,0.0,0,0.0,0.0,0.0,623,3.93,Other,2023-05-06
U31674,18,Male,Other,Employed,Unemployed,5834.94,2056.8,578286.81,No,None,0.0,0,0.0,0.0,0.0,453,8.26,Africa,2021-09-29
U30046,57,Male,Bachelor,Employed,Driver,4430.87,3015.95,526129.63,No,None,0.0,0,0.0,0.0,0.0,529,9.9,Other,2023-02-05
U29196,63,Male,Master,Self-employed,Manager,3854.77,2500.65,352225.32,No,None,0.0,0,0.0,0.0,0.0,737,7.61,North America,2024-03-30
U18291,26,Male,Master,Self-employed,Accountant,6016.35,5010.45,218700.07,No,None,0.0,0,0.0,0.0,0.0,449,3.03,Asia,2024-04-02
U00442,49,Female,High School,Unemployed,Unemployed,3678.74,1880.32,312792.59,No,None,0.0,0,0.0,0.0,0.0,492,7.09,Africa,2021-07-26
U10251,24,Male,Master,Employed,Salesperson,1654.01,1215.77,72594.26,No,None,0.0,0,0.0,0.0,0.0,759,3.66,Asia,2022-06-12
U16125,21,Female,Bachelor,Employed,Driver,6059.83,3511.25,82593.17,Yes,Home,104799.12,300,1033.22,11.08,0.17,445,1.14,Europe,2022-08-04
U25842,18,Male,Bachelor,Employed,Teacher,5636.69,3032.33,283019.25,No,None,0.0,0,0.0,0.0,0.0,308,4.18,Other,2022-09-03
U15810,25,Male,PhD,Employed,Salesperson,4111.65,1718.4,162321.15,No,None,0.0,0,0.0,0.0,0.0,684,3.29,North America,2023-08-13
U28006,20,Male,Master,Unemployed,Doctor,6740.31,5929.48,123641.41,No,None,0.0,0,0.0,0.0,0.0,465,1.53,Other,2022-06-04
U16891,34,Female,High School,Self-employed,Student,3029.03,1925.71,241583.66,Yes,Business,236283.52,60,5717.12,15.77,1.89,432,6.65,Europe,2022-08-07
U11689,18,Male,Master,Employed,Salesperson,5476.72,2239.35,254656.23,No,None,0.0,0,0.0,0.0,0.0,597,3.87,North America,2022-07-18
U32174,44,Female,Master,Unemployed,Driver,2254.65,1387.0,15603.16,No,None,0.0,0,0.0,0.0,0.0,686,0.58,Europe,2021-08-10
U24018,50,Female,Master,Employed,Salesperson,500.0,258.68,33688.13,Yes,Home,474293.56,300,6763.01,16.85,13.53,301,5.61,North America,2023-10-07
U10979,18,Female,High School,Self-employed,Doctor,6174.13,2396.56,564879.48,No,None,0.0,0,0.0,0.0,0.0,380,7.62,North America,2025-04-17
U17922,38,Other,Master,Self-employed,Teacher,1592.1,680.81,100577.75,No,None,0.0,0,0.0,0.0,0.0,838,5.26,Asia,2025-07-10
U27586,39,Male,Other,Employed,Doctor,5795.48,1745.03,557959.48,No,None,0.0,0,0.0,0.0,0.0,403,8.02,Africa,2022-11-20
U07845,55,Female,Bachelor,Employed,Manager,3554.12,1573.43,67451.84,No,None,0.0,0,0.0,0.0,0.0,645,1.58,North America,2023-05-02
U00884,28,Male,High School,Employed,Driver,6129.34,4261.56,461099.16,No,None,0.0,0,0.0,0.0,0.0,638,6.27,Other,2023-01-03
U04910,52,Female,Bachelor,Employed,Driver,4438.45,3880.12,229036.69,No,None,0.0,0,0.0,0.0,0.0,371,4.3,Other,2023-04-07
U05345,65,Male,Bachelor,Self-employed,Teacher,3820.09,3089.02,20813.75,Yes,Education,157017.45,120,1524.89,3.12,0.4,315,0.45,Other,2025-02-16
U04418,42,Male,High School,Employed,Engineer,1004.06,571.11,20336.01,Yes,Car,363253.99,360,8484.07,28.02,8.45,847,1.69,Africa,2024-09-30
U01869,30,Female,Master,Self-employed,Accountant,1766.36,1075.73,211362.05,No,None,0.0,0,0.0,0.0,0.0,718,9.97,Asia,2021-08-25
U25162,27,Female,Bachelor,Employed,Accountant,989.21,700.22,35052.4,Yes,Home,369291.72,300,6147.55,19.83,6.21,615,2.95,Africa,2025-05-12
U03629,69,Female,Master,Unemployed,Student,500.0,320.5,12488.96,Yes,Home,459285.93,360,9982.34,26.07,19.96,405,2.08,North America,2023-05-27
U04813,36,Female,Bachelor,Employed,Doctor,6557.88,3333.91,313200.49,No,None,0.0,0,0.0,0.0,0.0,808,3.98,Europe,2022-09-29
U10560,46,Male,Master,Employed,Salesperson,2252.34,2004.35,182980.99,No,None,0.0,0,0.0,0.0,0.0,416,6.77,North America,2024-03-14
U10576,40,Male,Master,Employed,Engineer,2757.43,2029.8,297479.75,Yes,Education,417368.34,120,4492.41,5.32,1.63,596,8.99,Africa,2024-12-27
U20320,58,Male,Other,Student,Student,3039.44,1867.79,6826.87,No,None,0.0,0,0.0,0.0,0.0,353,0.19,Africa,2024-02-24
U17223,49,Male,High School,Employed,Accountant,3294.8,1492.82,317805.22,No,None,0.0,0,0.0,0.0,0.0,644,8.04,Europe,2022-07-31
U16331,30,Female,Master,Student,Student,5173.12,3034.0,320979.17,No,None,0.0,0,0.0,0.0,0.0,766,5.17,North America,2023-02-05
U29829,50,Female,Master,Self-employed,Doctor,2689.78,2414.27,153216.67,Yes,Business,92095.43,180,662.0,3.58,0.25,300,4.75,Other,2023-04-06
U21432,20,Female,Bachelor,Self-employed,Engineer,3522.86,1787.96,364623.85,No,None,0.0,0,0.0,0.0,0.0,634,8.63,Other,2024-07-11
U27527,66,Male,High School,Student,Salesperson,3108.22,1792.04,311675.18,No,None,0.0,0,0.0,0.0,0.0,327,8.36,Africa,2023-07-24
U27363,62,Female,Master,Unemployed,Driver,3853.99,3362.1,283219.12,Yes,Education,379369.38,180,3590.5,7.84,0.93,559,6.12,Africa,2025-07-04
U21979,57,Female,Master,Employed,Student,500.0,267.92,22404.33,No,None,0.0,0,0.0,0.0,0.0,667,3.73,Africa,2024-11-19
U01076,49,Female,High School,Self-employed,Accountant,784.72,705.78,30603.23,Yes,Business,188373.12,240,4499.18,28.56,5.73,766,3.25,Other,2024-08-31
U20345,19,Male,Master,Employed,Driver,4677.17,3722.49,116150.91,No,None,0.0,0,0.0,0.0,0.0,348,2.07,Europe,2021-11-09
U06766,50,Female,Bachelor,Employed,Salesperson,2812.26,1827.74,168854.34,No,None,0.0,0,0.0,0.0,0.0,607,5.0,Other,2022-04-01
U18576,50,Male,Bachelor,Student,Manager,7940.24,6670.87,877247.62,No,None,0.0,0,0.0,0.0,0.0,662,9.21,Asia,2022-03-04
U26049,26,Female,Master,Employed,Manager,7347.16,4780.67,93237.16,Yes,Education,419023.6,24,20442.7,15.63,2.78,515,1.06,Other,2024-04-12
U32247,21,Female,Bachelor,Self-employed,Unemployed,3111.18,1318.93,183206.21,No,None,0.0,0,0.0,0.0,0.0,559,4.91,Africa,2021-11-11
U11876,57,Female,Bachelor,Self-employed,Unemployed,2729.4,2451.44,129791.34,No,None,0.0,0,0.0,0.0,0.0,351,3.96,Other,2022-07-30
U13002,19,Male,Other,Unemployed,Salesperson,1216.41,467.93,108328.21,No,None,0.0,0,0.0,0.0,0.0,417,7.42,North America,2022-06-22
U11134,20,Male,High School,Employed,Engineer,500.0,275.17,25687.31,Yes,Business,392417.07,24,21048.39,25.53,42.1,795,4.28,Europe,2024-06-30
U02198,34,Male,Master,Self-employed,Engineer,5111.14,3289.1,470787.98,No,None,0.0,0,0.0,0.0,0.0,325,7.68,Asia,2021-11-18
U00948,57,Female,Master,Self-employed,Salesperson,4353.52,2977.63,404580.0,No,None,0.0,0,0.0,0.0,0.0,330,7.74,Other,2022-11-18
U13523,38,Female,Bachelor,Unemployed,Accountant,3706.24,1703.94,336613.5,No,None,0.0,0,0.0,0.0,0.0,392,7.57,Other,2023-04-09
U26247,47,Male,Master,Self-employed,Doctor,2556.79,1491.04,90621.13,No,None,0.0,0,0.0,0.0,0.0,513,2.95,Africa,2024-07-27
U06700,67,Male,Master,Employed,Teacher,3740.11,1337.0,385820.18,No,None,0.0,0,0.0,0.0,0.0,376,8.6,Europe,2021-12-23
U03719,54,Male,Master,Self-employed,Driver,5617.61,1833.57,355577.65,No,None,0.0,0,0.0,0.0,0.0,595,5.27,Asia,2021-09-03
U29685,33,Female,Master,Employed,Doctor,6954.14,3416.57,486885.14,Yes,Home,221845.29,240,5049.98,27.19,0.73,702,5.83,Other,2022-12-16
U26888,35,Female,Bachelor,Employed,Driver,6641.05,3078.67,83768.96,No,None,0.0,0,0.0,0.0,0.0,629,1.05,Other,2023-12-28
U30204,25,Male,High School,Unemployed,Unemployed,4179.68,1922.77,428073.28,No,None,0.0,0,0.0,0.0,0.0,374,8.53,Africa,2024-09-06
U06308,41,Female,Master,Employed,Driver,3885.43,1283.25,250612.18,Yes,Business,345165.27,36,12878.64,20.29,3.31,647,5.38,Europe,2022-04-14
U31470,39,Male,PhD,Employed,Accountant,4347.43,3494.94,200956.73,No,None,0.0,0,0.0,0.0,0.0,739,3.85,Other,2022-03-21
U09133,19,Female,High School,Employed,Teacher,2758.84,1936.9,91996.5,No,None,0.0,0,0.0,0.0,0.0,433,2.78,Europe,2025-05-05
U07033,59,Female,Bachelor,Employed,Unemployed,2750.06,1451.54,227885.17,No,None,0.0,0,0.0,0.0,0.0,435,6.91,North America,2022-10-17
U09814,34,Female,Master,Unemployed,Engineer,1805.44,854.2,68155.5,No,None,0.0,0,0.0,0.0,0.0,441,3.15,Other,2022-04-28
U05356,25,Male,Bachelor,Employed,Student,8727.43,6960.84,142744.12,No,None,0.0,0,0.0,0.0,0.0,660,1.36,Other,2021-07-27
U11934,50,Male,Bachelor,Student,Student,1207.34,1001.63,122536.12,No,None,0.0,0,0.0,0.0,0.0,661,8.46,Other,2021-11-12
U07278,47,Female,Master,Employed,Unemployed,2409.87,1680.45,146931.39,No,None,0.0,0,0.0,0.0,0.0,493,5.08,Asia,2023-09-29
U01007,31,Male,Master,Self-employed,Salesperson,3892.83,1309.03,351113.53,No,None,0.0,0,0.0,0.0,0.0,758,7.52,Asia,2025-04-20
U23169,22,Male,Bachelor,Employed,Driver,500.0,185.6,44252.59,No,None,0.0,0,0.0,0.0,0.0,323,7.38,Asia,2023-03-19
